header_id,line_item_id,line_item_index,record_type,created_at,currency,header_status,product_id,product_name,product_type,transaction_type,billing_type,quantity,unit_amount,discount_amount,tax_amount,total_amount,payment_id,payment_method_id,payment_method,payment_at,refund_amount,subscription_id,subscription_period_started_at,subscription_period_ended_at,subscription_status,customer_id,customer_level,customer_name,customer_company,customer_email,customer_city,customer_country,fee_amount
564f7ae6-fd8f-4366-a570-e288f2247a17,670104b2-5a90-4c58-b49c-5ae2e6319442,1,header,2023-07-10 05:57:12,USD,cancelled,22,ink,office supplies,refund,recurring,4,370.42,45.06,48.72,1485.34,,,,,662.23,57c764a0-e94d-48e0-8f8e-eb2f77c5de0c,2023-05-20 13:03:37,2024-03-09 19:51:43,active,39fd266f-62fe-466e-a54e-7965af080395,premium,Benjamin Wong,Dunder Mifflin Paper Company,amy45@example.org,South Anastad,Grenada,11.47
564f7ae6-fd8f-4366-a570-e288f2247a17,6d4148f2-fd45-4700-888b-e1af4e4d44cf,1,line_item,2024-01-10 13:25:11,GBP,pending,51,stationery,office supplies,sale,one-time,3,803.93,13.67,44.59,2442.71,,,,,,,,,,2413dcab-93b3-4b3e-968a-d0f05fa192a8,basic,Brendan Davidson,Dunder Mifflin Paper Company,qduran@example.net,Wilsonfurt,Yemen,19.68
564f7ae6-fd8f-4366-a570-e288f2247a17,2bba1594-d32c-4180-a653-ebfa2f6f5c3a,2,line_item,2023-02-12 14:30:17,GBP,completed,25,chair,furniture,refund,subscription,9,603.49,79.89,31.06,5382.58,31bcee4a-1d1c-483b-8b81-362630f74f73,a0f11162-40d4-4cfc-ace7-850ad28357b0,credit_card,2023-03-03 03:03:01,895.31,5ccd6abf-c64d-4d0b-ab98-52a8fa4b4baf,2023-01-31 07:37:47,2023-11-29 05:24:27,active,17a28fa2-23f5-41c6-bcdb-1b4988b6de6e,basic,Danielle Martin,Dunder Mifflin Paper Company,johntaylor@example.com,Cooperland,Central African Republic,1.09
564f7ae6-fd8f-4366-a570-e288f2247a17,1484d523-92a0-486c-a532-4863bf7a3298,3,line_item,2022-09-29 22:15:39,USD,completed,77,paper,office supplies,sale,invoiceitem,10,808.69,26.05,14.16,8075.01,0fa8498c-70db-435c-ac12-b7db45fe8738,bf3c6c39-ae3d-45e8-bf22-ff233c28bc09,bank_transfer,2023-04-03 23:43:41,,,,,,af731393-2973-4036-a143-3d786f3922ef,basic,Nicole Johnson PhD,Dunder Mifflin Paper Company,montoyajoseph@example.com,Melissaborough,Norway,2.8
5b7f1777-0482-4745-a56f-34c2c6ff98c3,dcc677c3-7c41-4e52-8b1f-160010438fd2,2,header,2022-12-08 01:58:29,GBP,completed,28,ink,office supplies,sale,invoiceitem,4,35.41,41.58,33.22,133.28,6d83ee29-cf3b-4654-b508-154601f9b338,b0d94f64-d0aa-4692-833c-a90c815f0a1e,paypal,2023-02-08 10:55:20,,,,,,9abbd4d1-0d49-42ec-94fe-e8d1ae1c78ee,basic,George Smith,Dunder Mifflin Paper Company,robertandrade@example.net,New James,Chile,5.21
5b7f1777-0482-4745-a56f-34c2c6ff98c3,4af88376-ce3f-43a3-ac5b-047c17d3ecc5,1,line_item,2023-06-07 10:22:35,USD,pending,47,chair,furniture,refund,one-time,8,143.95,67.41,14.61,1098.8,,,,,542.24,,,,,34347306-c07d-4233-b3dc-d0d58672e4d6,premium,William Horne,Dunder Mifflin Paper Company,grimessteven@example.org,Trujillofort,Namibia,13.11
5b7f1777-0482-4745-a56f-34c2c6ff98c3,0c826f1e-195e-4e51-ac61-dd469a4c1d6c,2,line_item,2024-01-02 11:52:03,EUR,cancelled,40,printer,office equipment,sale,one-time,5,871.52,33.06,11.51,4336.05,,,,,,,,,,97efdc8f-7d1d-4719-9a6f-12ad39e025cf,premium,Sandra White,Dunder Mifflin Paper Company,tonyajones@example.com,Waltersville,Vietnam,17.75
5b7f1777-0482-4745-a56f-34c2c6ff98c3,df464a5a-0cab-460e-8060-fe06e01515d3,3,line_item,2024-02-19 15:57:44,GBP,cancelled,38,stationery,office supplies,refund,one-time,5,716.16,22.06,42.39,3601.13,,,,,1024.63,,,,,b87984de-1187-4737-a05a-9eb4bb60761e,enterprise,Shannon Ortiz,Dunder Mifflin Paper Company,jaimeellis@example.org,Amandaborough,Congo,4.32
5b7f1777-0482-4745-a56f-34c2c6ff98c3,612f27d9-e020-4423-967a-9ab320786af3,4,line_item,2023-03-21 14:55:08,GBP,completed,80,printer,office equipment,refund,invoiceitem,7,852.99,93.04,8.06,5885.95,0089cce1-276a-42e0-bc6c-2e22ce1d5c18,d7a6967c-e789-4e41-adfa-4643c3ce5fc5,credit_card,2023-08-25 05:39:13,514.36,,,,,4f9f8c56-e48b-4017-b7ef-2478e03db3f0,enterprise,Virginia Ramirez,Dunder Mifflin Paper Company,jeffreyfernandez@example.org,Port Natashaton,Niue,11.3
5b7f1777-0482-4745-a56f-34c2c6ff98c3,0477c101-e9b1-4b5d-a858-80f0b8e2aeb6,5,line_item,2022-08-15 08:30:35,GBP,pending,21,ink,office supplies,sale,invoiceitem,4,343.53,59.61,2.5,1317.01,,,,,,,,,,24034f78-ffcb-461e-8846-3a5091b7dbd7,enterprise,Angel Murray,Dunder Mifflin Paper Company,rodriguezjake@example.net,North Ronald,Burundi,16.34
